model,q,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper,f1,f1_ci_lower,f1_ci_upper,brier,brier_ci_lower,brier_ci_upper
genre_prior,0.2,0.8523979164268942,0.8459930097742032,0.8587164439271582,0.6098246910250021,0.5933023592438045,0.6267598032935725,0.5858892128279883,0.5744307661618656,0.5982653192618139,0.11768213645820949,0.11466613366319799,0.12049252067761214
logistic,0.2,0.6289941878408662,0.6180343640463108,0.6394616414605122,0.29896289459498715,0.28665585359705115,0.31199973884228427,0.3842537253964459,0.3738233851939362,0.3949315474107839,0.23695749032904265,0.2351243799378046,0.23880680635447826
random_forest,0.2,0.7057500847763409,0.6966155302204053,0.715450185354671,0.3889331246692797,0.37264046221759717,0.4051656244389701,0.4347508669465231,0.4241049771811541,0.44698284709088115,0.16569602041135206,0.16327420395970768,0.16829982102533977
lightgbm,0.2,0.6987503083664691,0.6891919355410514,0.7076563869413969,0.3740223140749602,0.35784155576758947,0.38821562445753244,0.4345853747051352,0.424218829542804,0.4460794386579799,0.2113733901565749,0.20874001240663925,0.2142870895329928
xgboost,0.2,0.7096483329688013,0.6999515269260522,0.7186558149060582,0.3933024059695541,0.37678241961882675,0.40872526048303387,0.4391077361177029,0.42770883871679044,0.45029196149117956,0.1954551339149475,0.1929779753088951,0.19816177040338517
