model,accuracy,precision,recall,f1,roc_auc,auc_ci_lower,auc_ci_upper
majority_class,0.7831715210355987,0.0,0.0,0.0,0.5,,
stratified_random,0.656957928802589,0.21739130434782608,0.22388059701492538,0.22058823529411764,0.5003700505735784,,
logistic_regression,0.5339805825242718,0.25161290322580643,0.582089552238806,0.35135135135135137,0.5582829653385963,0.47207337545116573,0.6385223919527724
random_forest,0.7961165048543689,0.8333333333333334,0.07462686567164178,0.136986301369863,0.5939311705933144,0.5082413120663979,0.6738642682591026
