model,target,auc,auc_ci_lower,auc_ci_upper
logistic_regression,sticky,0.5582829653385963,0.47207337545116573,0.6385223919527724
random_forest,sticky,0.5939311705933144,0.5082413120663979,0.6738642682591026
logistic_regression,long_stayer,0.5439411536972513,0.4686669790262803,0.6193353394572906
random_forest,long_stayer,0.5428765001935734,0.4633409342439698,0.6180731258366801
